Location,Invasive,Num_Location,Cage_Number,Block,Trophic_Treatment,Plant,Biomass,Goldenrod_StemHeight,Goldenrod_StemCount,Mugwort_StemHeight,Mugwort_StemCount,Grasshopper_Start,Grasshopper_End,Grasshopper_Avg,Temp_MeanDaily,Temp_MeanMax
Flanders,Mixed,9,54,18,Herbivore,Goldenrod,17.3,24.76,6,28.48,7,5,0,2.5,21.065,31.83
Flanders,Mixed,10,55,19,Predator,Goldenrod,6.6,18.6,7,23.78,9,5,0,2.5,21.065,31.83
Flanders,Mixed,11,56,19,Plant,Goldenrod,20.1,23.85,7,21.4,10,0,0,0,21.065,31.83
Flanders,Mixed,12,57,19,Herbivore,Goldenrod,17.1,21.75,8,18.03,10,5,0,2.5,21.065,31.83
Flanders,Mixed,13,58,20,Herbivore,Goldenrod,19.3,22.08,9,23.49,6,5,0,2.5,21.065,31.83
Flanders,Mixed,14,59,20,Plant,Goldenrod,16.8,24.13,12,32,1,0,0,0,21.065,31.83
Flanders,Mixed,15,60,20,Predator,Goldenrod,8.5,25.96,9,22.86,2,5,2,3.5,21.065,31.83
Flanders,Native,16,61,21,Plant,Goldenrod,55.9,69.35,14,0,0,0,0,0,21.065,31.83
Flanders,Native,17,62,21,Predator,Goldenrod,30.1,65.4,12,0,0,5,0,2.5,21.065,31.83
Flanders,Native,18,63,21,Herbivore,Goldenrod,56.3,69.12,7,0,0,5,1,3,21.065,31.83
Flanders,Native,19,64,22,Herbivore,Goldenrod,10.7,66.2,4,0,0,5,0,2.5,21.065,31.83
Flanders,Native,20,65,22,Predator,Goldenrod,47.8,58.81,13,0,0,5,0,2.5,21.065,31.83
Flanders,Native,21,66,22,Plant,Goldenrod,81.7,70.52,21,0,0,0,0,0,21.065,31.83
Flanders,Native,22,67,23,Plant,Goldenrod,37.8,58.53,12,0,0,0,0,0,21.065,31.83
Flanders,Native,23,68,23,Predator,Goldenrod,47.1,59.89,13,0,0,5,0,2.5,21.065,31.83
Flanders,Native,24,69,23,Herbivore,Goldenrod,55.7,56.68,19,0,0,5,0,2.5,21.065,31.83
Flanders,Native,25,70,24,Plant,Goldenrod,48.7,50.32,29,0,0,0,0,0,21.065,31.83
Flanders,Native,26,71,24,Herbivore,Goldenrod,67.3,72.14,10,0,0,5,0,2.5,21.065,31.83
Flanders,Native,27,72,24,Predator,Goldenrod,71,76.02,18,0,0,5,0,2.5,21.065,31.83
Flanders,Native,28,73,25,Plant,Goldenrod,48.3,62.23,20,0,0,0,0,0,21.065,31.83
Flanders,Native,29,74,25,Herbivore,Goldenrod,37.3,56.28,16,0,0,5,0,2.5,21.065,31.83
Flanders,Native,30,75,25,Predator,Goldenrod,45.3,71.37,18,0,0,5,0,2.5,21.065,31.83
Wallingford,Mixed,1,91,31,Herbivore,Goldenrod,35,64.35,9,60.27,11,5,0,2.5,20.888,30.024
Wallingford,Mixed,2,92,31,Predator,Goldenrod,87.3,78.35,13,62.86,7,5,1,3,20.888,30.024
Wallingford,Mixed,3,93,31,Plant,Goldenrod,57.3,83.84,8,47.62,7,0,0,0,20.888,30.024
Wallingford,Mixed,4,94,32,Predator,Goldenrod,22.5,69.21,4,63.16,13,5,0,2.5,20.888,30.024
Wallingford,Mixed,5,95,32,Plant,Goldenrod,67.2,70.75,12,70.01,8,0,0,0,20.888,30.024
Wallingford,Mixed,6,96,32,Herbivore,Goldenrod,65.4,86.71,9,68.62,15,5,0,2.5,20.888,30.024
Wallingford,Mixed,7,97,33,Predator,Goldenrod,43.5,87.42,3,72.07,10,5,0,2.5,20.888,30.024
Wallingford,Mixed,8,98,33,Plant,Goldenrod,23.6,83.98,5,56.01,4,0,0,0,20.888,30.024
Wallingford,Mixed,9,99,33,Herbivore,Goldenrod,48.7,56.45,10,48.13,5,5,0,2.5,20.888,30.024
Wallingford,Mixed,10,100,34,Herbivore,Goldenrod,27.4,60.85,6,46.14,12,5,0,2.5,20.888,30.024
Wallingford,Mixed,11,101,34,Predator,Goldenrod,30.4,68.37,6,65.64,16,5,1,3,20.888,30.024
Wallingford,Mixed,12,102,34,Plant,Goldenrod,6.6,63.71,3,73.56,13,0,0,0,20.888,30.024
Wallingford,Mixed,13,103,35,Predator,Goldenrod,35.7,68.86,9,62.48,10,5,1,3,20.888,30.024
Wallingford,Mixed,14,104,35,Herbivore,Goldenrod,36.6,86.36,3,67.46,13,5,0,2.5,20.888,30.024
Wallingford,Mixed,15,105,35,Plant,Goldenrod,27.5,86.11,5,66.96,11,0,0,0,20.888,30.024
Wallingford,Native,16,106,36,Predator,Goldenrod,120.5,73.27,18,0,0,5,0,2.5,20.888,30.024
Wallingford,Native,17,107,36,Herbivore,Goldenrod,67.9,67.89,11,0,0,5,0,2.5,20.888,30.024
Wallingford,Native,18,108,36,Plant,Goldenrod,49.2,71.4,9,0,0,0,0,0,20.888,30.024
Wallingford,Native,19,109,37,Predator,Goldenrod,118.4,89.53,15,0,0,5,1,3,20.888,30.024
Wallingford,Native,20,110,37,Plant,Goldenrod,71.7,67.64,19,0,0,0,0,0,20.888,30.024
Wallingford,Native,21,111,37,Herbivore,Goldenrod,84.5,65.02,18,0,0,5,0,2.5,20.888,30.024
Wallingford,Native,22,112,38,Plant,Goldenrod,111,70.89,19,0,0,0,0,0,20.888,30.024
Wallingford,Native,23,113,38,Predator,Goldenrod,55.7,73.41,10,0,0,5,2,3.5,20.888,30.024
Wallingford,Native,24,114,38,Herbivore,Goldenrod,75.7,86.29,9,0,0,5,0,2.5,20.888,30.024
Wallingford,Native,25,115,39,Predator,Goldenrod,45.9,78.98,8,0,0,5,2,3.5,20.888,30.024
Wallingford,Native,26,116,39,Plant,Goldenrod,75.4,86.68,12,0,0,0,0,0,20.888,30.024
Wallingford,Native,27,117,39,Herbivore,Goldenrod,79.3,73.87,9,0,0,5,0,2.5,20.888,30.024
Wallingford,Native,28,118,40,Plant,Goldenrod,81.1,85.68,13,0,0,0,0,0,20.888,30.024
Wallingford,Native,29,119,40,Herbivore,Goldenrod,49.7,92.31,8,0,0,5,0,2.5,20.888,30.024
Wallingford,Native,30,120,40,Predator,Goldenrod,99.7,78.6,18,0,0,5,0,2.5,20.888,30.024
